,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steuerjahr,Zivilstand,Abzug Alleinstehend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH
Einkommens-Klasse,Values,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein
,Summe von Einfache Steuer Einkommen,"1,799,831","943,026","11,098,608","2,026,289","1,272,946","12,025,837","2,692,313","1,406,180","13,002,646","2,211,845","1,466,230","13,786,793","2,467,527","1,424,978","13,883,576","1,936,485","1,631,827","13,409,776","2,411,443","2,034,955","13,811,864","2,367,224","1,891,367","14,252,606","2,699,633","1,950,323","14,672,797","2,793,363","2,006,057","15,513,270","3,150,179","1,988,953","15,435,620","2,999,122","2,127,330","16,231,768","2,629,087","2,448,502","16,334,575"
400000,Summe von Anzahl,121,72,733,119,69,774,129,81,829,146,76,893,149,80,857,166,101,918,167,100,958,151,111,963,151,128,"1,006",177,125,"1,021",174,150,"1,097",156,163,"1,190",191,157,"1,186"
,Summe von Einfache Steuer Einkommen,"2,355,819","1,419,284","13,614,694","2,335,084","1,370,485","14,450,639","2,535,188","1,633,288","15,479,646","2,848,305","1,465,985","16,291,826","2,830,969","1,488,835","15,324,113","3,108,022","1,860,104","16,359,324","3,091,877","1,850,201","16,696,492","2,762,595","1,986,231","16,518,353","2,716,406","2,310,033","17,150,627","3,171,748","2,259,902","17,298,915","3,089,202","2,746,528","18,611,958","2,709,604","2,911,259","20,190,255","3,429,334","2,802,600","19,779,718"
500000,Summe von Anzahl,46,36,296,55,32,345,52,37,374,70,35,375,62,46,396,61,42,439,57,54,397,71,61,436,62,48,458,81,55,480,71,52,520,95,70,490,73,55,545
,Summe von Einfache Steuer Einkommen,"1,203,067","937,592","7,442,455","1,439,320","848,434","8,688,126","1,361,864","961,061","9,428,795","1,771,714","885,163","9,210,296","1,502,360","1,110,452","9,351,221","1,503,120","1,022,085","10,325,486","1,349,648","1,285,782","9,257,704","1,627,692","1,459,929","9,998,724","1,398,854","1,130,246","10,459,892","1,859,631","1,327,246","10,663,859","1,674,938","1,244,325","11,815,728","2,273,801","1,697,113","11,034,374","1,692,381","1,366,333","12,326,645"
750000,Summe von Anzahl,41,20,286,34,23,303,42,30,346,60,32,358,58,37,360,54,55,373,55,40,413,52,43,400,50,47,403,58,54,415,77,48,441,77,60,457,80,62,468
,Summe von Einfache Steuer Einkommen,"1,455,194","726,709","10,038,240","1,223,414","858,814","10,621,349","1,516,410","1,073,123","12,119,139","1,980,275","1,114,804","12,174,485","1,998,717","1,218,413","11,655,193","1,681,617","1,795,061","11,988,716","1,744,566","1,241,580","13,093,668","1,615,328","1,296,077","12,308,908","1,621,428","1,487,837","12,498,246","1,815,266","1,727,391","12,942,144","2,424,216","1,517,365","13,594,178","2,437,717","1,833,929","13,930,912","2,451,421","1,818,669","14,057,328"
1000000,Summe von Anzahl,16,15,81,19,6,83,20,7,118,13,11,106,18,19,111,17,15,116,18,15,122,20,20,129,17,20,126,19,11,121,18,25,110,22,26,132,27,31,154
,Summe von Einfache Steuer Einkommen,"843,530","791,351","4,290,242","1,015,032","328,220","4,325,763","1,033,981","366,358","6,156,746","623,541","536,331","5,094,668","767,089","841,292","5,068,541","818,958","721,164","5,455,051","841,656","726,643","5,537,626","979,637","932,850","5,769,681","806,988","907,039","5,617,100","863,504","539,707","5,388,458","840,690","1,169,192","4,739,721","964,782","1,214,100","5,840,120","1,243,944","1,350,785","6,818,491"
1000001,Summe von Anzahl,21,8,120,29,9,127,32,14,121,37,10,133,32,13,159,38,19,168,36,15,162,33,14,154,32,25,147,40,26,170,41,24,199,46,27,205,37,35,212
,Summe von Einfache Steuer Einkommen,"2,650,452","1,034,312","20,407,998","3,842,773","1,126,769","16,559,668","4,633,958","1,899,404","17,138,653","4,700,320","1,152,893","15,517,114","5,688,552","1,153,008","17,745,763","6,285,700","1,917,164","19,883,083","5,349,597","1,884,637","17,133,465","5,811,888","1,941,207","16,776,545","5,690,369","2,983,883","14,600,458","7,389,175","2,807,619","17,151,595","7,218,122","3,835,682","19,204,444","7,446,873","2,957,145","22,415,736","6,507,817","3,930,617","23,371,065"
Grand Total,Summe von Anzahl,"172,179","215,900","228,384","171,915","222,287","228,117","171,998","227,889","228,051","169,083","235,895","228,104","167,284","242,547","228,141","167,364","247,694","228,010","167,000","253,540","228,303","165,229","261,112","228,824","166,245","265,846","229,296","181,359","254,545","229,424","182,699","259,724","231,199","183,292","263,227","230,895","184,293","265,578","230,600"
,Summe von Einfache Steuer Einkommen,"235,380,792","166,764,779","528,621,763","240,458,155","178,161,976","535,635,947","250,622,274","191,210,234","556,701,434","254,609,035","207,484,005","568,280,729","251,225,876","214,430,970","548,980,449","252,510,011","224,206,080","558,570,638","251,454,022","232,811,844","556,688,683","247,143,291","240,871,437","548,793,279","249,814,087","251,274,663","551,110,826","275,827,208","243,560,304","568,562,889","281,569,214","255,212,257","583,158,803","285,956,990","263,537,742","595,679,522","288,063,239","269,811,782","603,593,842"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wachstum seit 2005,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0%,23.0%,1.0%
